"id","game_id","timestamp","player_count","on_sale","discount_percent","original_price","final_price","estimated_owners","id","name"
"115","281990","1744661014","13925","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"116","2379780","1744661015","21314","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"117","39210","1744661015","23945","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"118","730","1744664656","982906","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"119","570","1744664657","370994","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"120","440","1744664658","44226","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"121","578080","1744664659","154861","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"122","1172470","1744664659","83938","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"123","2767030","1744664660","181543","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"124","3240220","1744664660","30039","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"125","250900","1744664661","20052","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"126","3164500","1744664662","257492","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"127","1174180","1744664662","35683","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"128","2495100","1744664662","1766","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"129","1245620","1744664663","34339","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"130","1151340","1744664664","9463","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"131","2933620","1744664664","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"132","1144200","1744664665","8687","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"133","1449850","1744664665","13386","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"134","281990","1744664666","12865","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"135","2379780","1744664666","20823","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"136","39210","1744664667","22983","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"137","730","1744668227","830741","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"138","570","1744668228","324884","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"139","440","1744668228","40282","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"140","578080","1744668229","118287","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"141","1172470","1744668230","77738","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"142","2767030","1744668231","182363","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"143","3240220","1744668231","27112","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"144","250900","1744668232","17878","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"145","3164500","1744668232","243917","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"146","1174180","1744668233","32348","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"147","2495100","1744668233","1691","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"148","1245620","1744668234","31425","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"149","1151340","1744668234","8951","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"150","2933620","1744668235","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"151","1144200","1744668235","7498","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"152","1449850","1744668236","12817","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"153","281990","1744668237","11499","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"154","2379780","1744668237","20160","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"155","39210","1744668237","22385","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"156","730","1744671711","726131","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"157","570","1744671711","290212","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"158","440","1744671711","42968","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"159","578080","1744671712","92604","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"160","1172470","1744671712","73613","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"161","2767030","1744671713","188938","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"162","3240220","1744671713","25578","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"163","250900","1744671714","16319","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"164","3164500","1744671714","238303","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"165","1174180","1744671715","30095","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"166","2495100","1744671715","1791","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
